City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,beringovskiy,63.05,179.3167,243.01,92,38,6.05,RU,1675541903
140,faya,18.3851,42.4509,285.21,66,86,1.23,SA,1675541939
141,mahebourg,-20.4081,57.7,299.4,83,40,2.57,MU,1675541772
142,tateyama,34.9833,139.8667,279.87,67,5,4.91,JP,1675541939
143,alyangula,-13.8483,136.4192,299.88,60,98,0.87,AU,1675541939
144,mende,44.6667,3.5,274.14,92,77,6.19,FR,1675541940
145,bredasdorp,-34.5322,20.0403,295.19,81,0,1.78,ZA,1675541812
146,jalu,29.0331,21.5482,286.5,49,100,2.81,LY,1675541940
147,hayden,47.766,-116.7866,280.46,88,99,0.89,US,1675541941
148,nantucket,41.2835,-70.0995,264.23,52,0,7.72,US,1675541941
149,hude,53.1167,8.4667,275.36,87,62,2.84,DE,1675541942
150,jhang,33.6748,72.6963,289.05,60,9,1.94,PK,1675541942
151,srednekolymsk,67.45,153.6833,238.02,100,100,1.26,RU,1675541824
152,kahului,20.8947,-156.47,296.16,90,75,7.2,US,1675541943
153,cidreira,-30.1811,-50.2056,298.87,65,71,4.61,BR,1675541918
154,mandalgovi,45.7625,106.2708,262.22,46,100,3.91,MN,1675541851
155,klaksvik,62.2266,-6.589,277.66,62,12,13.79,FO,1675541788
156,peniche,39.3558,-9.3811,284.88,85,0,6.53,PT,1675541693
157,puerto carreno,6.189,-67.4859,308.96,32,31,5.93,CO,1675541945
158,dikson,73.5069,80.5464,252.35,98,100,1.44,RU,1675541815
159,kelo,9.3086,15.8066,302.73,14,42,2.79,TD,1675541946
160,saldanha,-33.0117,17.9442,292.03,96,81,6.94,ZA,1675541947
161,krasnoshchekovo,51.6708,82.7289,266.82,97,100,1.43,RU,1675541948
162,tokur,53.1333,132.9,246.9,99,100,0.74,RU,1675541869
163,ayaviri,-14.8864,-70.5889,286.3,59,96,3.07,PE,1675541948
164,mitu,1.1983,-70.1733,305.64,45,56,0.52,CO,1675541950
165,henties bay,-22.116,14.2845,291.18,86,100,3.47,NA,1675541951
166,rio grande,-32.035,-52.0986,302.21,57,0,7.53,BR,1675541922
167,akcaabat,41.0212,39.5715,280.08,61,75,3.6,TR,1675541953
168,kruisfontein,-34.0033,24.7314,296.25,67,100,2.42,ZA,1675541813
169,itaituba,-4.2761,-55.9836,302.24,74,40,3.6,BR,1675541955
170,port blair,11.6667,92.75,299.17,89,40,1.03,IN,1675541955
171,vostok,46.4856,135.8833,251.85,98,100,2.25,RU,1675541911
172,thompson,55.7435,-97.8558,253.24,71,75,1.03,CA,1675541837
173,kidal,18.4411,1.4078,297.26,10,100,4.36,ML,1675541956
174,plettenberg bay,-34.0527,23.3716,295.55,73,36,1.39,ZA,1675541857
175,bodden town,19.2833,-81.25,302.0,73,20,5.66,KY,1675541957
176,isiro,2.7739,27.616,295.04,36,16,0.82,CD,1675541958
177,ixtapa,20.7,-105.2,297.72,73,40,5.66,MX,1675541870
178,salitrillo,19.4333,-99.85,292.18,24,0,1.2,MX,1675541959
179,adelaide,-34.9333,138.6,288.62,80,40,2.06,AU,1675541702
180,geraldton,-28.7667,114.6,294.38,88,75,1.54,AU,1675541960
181,bambous virieux,-20.3428,57.7575,299.38,83,40,2.57,MU,1675541765
182,nikolskoye,59.7035,30.7861,270.26,92,100,3.57,RU,1675541830
183,yulara,-25.2406,130.9889,292.13,32,0,4.7,AU,1675541961
184,tasiilaq,65.6145,-37.6368,269.24,87,100,6.02,GL,1675541847
185,eyl,7.9803,49.8164,296.44,70,98,7.04,SO,1675541218
186,itarema,-2.9248,-39.9167,300.65,76,41,6.69,BR,1675541435
187,sao filipe,14.8961,-24.4956,295.4,62,53,5.88,CV,1675541962
188,ulaanbaatar,47.9077,106.8832,247.22,76,34,1.0,MN,1675541919
189,luganville,-15.5333,167.1667,300.55,85,100,3.86,VU,1675541962
190,broken hill,-31.95,141.4333,288.69,58,0,4.68,AU,1675541963
191,lukovetskiy,64.2956,41.9211,251.97,100,72,0.99,RU,1675541963
192,chokurdakh,70.6333,147.9167,238.78,99,51,3.48,RU,1675541570
193,dubrovnik,42.6481,18.0922,278.95,38,0,15.43,HR,1675541964
194,tessalit,20.1986,1.0114,290.63,14,65,4.78,ML,1675541966
195,gat,31.61,34.7642,285.59,100,58,3.18,IL,1675541765
196,marawi,7.9986,124.2928,292.53,90,100,0.7,PH,1675541681
197,fairbanks,64.8378,-147.7164,261.13,79,100,1.54,US,1675541570
198,tilichiki,60.4667,166.1,245.32,98,45,3.75,RU,1675541968
199,faanui,-16.4833,-151.75,300.62,71,69,7.89,PF,1675541851
200,waingapu,-9.6567,120.2641,297.49,92,100,3.17,ID,1675541825
201,hithadhoo,-0.6,73.0833,300.46,73,98,6.76,MV,1675541863
202,santa maria,-29.6842,-53.8069,304.81,27,32,4.34,BR,1675541969
203,sangar,63.9242,127.4739,242.25,99,100,0.52,RU,1675541970
204,namibe,-15.1961,12.1522,294.81,77,30,4.3,AO,1675541921
205,okhotsk,59.3833,143.3,246.7,82,45,5.2,RU,1675541935
206,salalah,17.0151,54.0924,296.2,78,40,1.03,OM,1675541913
